Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
29.42,0.56,630,429,79,807.41
8.54,0.27,614,261,91,231.41
24.23,2.42,1403,93,123,52.23
13.68,1.37,650,31,140,7.0
10.4,0.22,639,241,65,414.92
28.97,0.56,1340,81,104,248.61
17.21,1.01,1400,492,123,458.65
6.25,0.69,1491,184,78,145.75
8.21,2.74,1129,115,143,13.43
5.87,0.12,1012,467,93,858.35
8.18,0.17,1368,490,128,1024.52
23.86,0.4,1353,376,140,994.94
26.24,0.54,1382,491,80,1847.04
8.73,1.75,855,434,97,92.69
22.24,1.39,650,127,62,100.68
25.35,0.7,1156,1,110,1.79
16.35,0.68,738,200,107,155.17
7.54,0.24,1312,235,142,297.43
27.91,27.91,653,135,93,4.73
27.62,0.99,653,12,145,7.28
11.97,0.44,1098,386,122,432.28
24.17,0.48,886,187,61,584.09
8.14,0.31,849,297,96,295.24
12.05,0.63,1265,363,118,348.71
6.99,0.24,819,262,77,319.4
10.61,0.48,1131,493,76,713.11
26.22,1.87,1089,328,77,314.3
21.99,3.67,1455,135,148,39.4
25.05,1.19,1412,415,110,540.06
14.7,0.82,1240,15,139,11.49
14.01,0.4,929,382,88,618.39
22.63,0.67,976,266,115,358.02
19.89,0.55,1147,286,65,800.58
24.54,1.23,547,101,64,80.97
21.98,0.56,1035,357,110,609.72
29.01,0.55,977,175,66,600.48
25.95,0.5,842,132,139,193.57
12.05,0.86,724,410,107,184.34
10.37,0.65,1447,103,110,101.02
17.77,0.36,1167,399,131,793.17
10.85,3.62,1367,411,100,83.05
6.19,0.14,1370,252,70,721.97
17.59,0.98,884,226,88,192.58
28.84,1.2,1266,223,61,520.59
15.39,0.3,850,244,84,528.46
19.47,0.38,818,289,62,805.8
24.72,0.52,867,271,145,361.2
21.8,1.56,1082,280,81,251.39
4.21,0.1,1075,378,80,657.97
18.69,0.98,1127,384,147,271.31
29.87,0.62,864,480,86,1062.04
21.74,1.55,934,155,112,88.11
25.93,0.6,950,400,101,751.02
18.24,1.22,1332,412,140,284.69
25.07,0.49,735,188,71,435.31
24.66,0.88,717,96,133,69.54
29.27,2.44,1043,388,125,191.05
8.7,0.26,988,136,120,161.46
9.5,0.24,725,75,149,63.37
8.13,1.02,592,430,92,104.69
24.87,0.53,1247,195,108,485.82
20.31,0.58,636,103,83,125.19
17.85,4.46,1069,161,104,32.76
7.21,0.16,789,271,120,318.52
26.61,2.66,1327,470,73,416.62
13.48,0.5,761,254,70,325.7
3.51,0.11,1242,7,61,13.03
2.04,0.41,696,470,99,73.19
19.33,0.46,1012,182,117,302.64
26.07,0.84,1063,133,105,197.73
13.09,2.62,1126,368,108,94.18
6.7,1.68,1258,284,91,75.81
11.45,0.24,1401,440,109,1132.58
15.06,0.72,1165,91,122,85.99
9.02,1.0,858,363,105,127.7
12.65,2.11,778,363,76,108.02
2.95,0.06,1256,380,64,796.37
3.53,0.19,931,397,90,295.18
21.73,2.41,1068,41,127,15.29
23.05,0.68,1034,304,137,369.06
13.25,0.53,657,64,103,46.75
8.55,0.45,719,247,88,170.23
3.41,3.41,858,494,64,32.37
11.87,0.4,861,361,99,413.61
8.88,0.4,865,247,75,271.04
7.01,0.13,794,366,110,527.75
2.25,0.13,1142,218,132,126.39
13.28,0.3,959,156,62,420.92
9.93,0.19,657,191,109,242.33
25.19,0.43,1438,444,118,1442.69
15.4,0.37,1271,403,82,1116.03
29.36,0.65,1190,225,78,705.67
20.96,0.58,1374,494,145,798.36
29.12,7.28,1239,170,134,31.28
25.28,1.58,1184,445,74,546.24
6.71,0.34,560,405,135,149.49
13.82,0.77,1020,294,136,188.86
25.28,0.68,798,59,100,81.52
13.64,0.45,624,495,79,519.5
8.14,0.21,991,26,109,37.6
28.39,0.65,1423,297,110,784.22
25.33,1.81,520,434,129,119.85
27.51,1.83,803,165,75,128.12
26.4,1.02,917,446,140,365.26
8.93,0.47,590,324,106,155.7
23.09,0.7,520,13,126,8.37
22.96,0.96,1379,465,126,584.42
20.56,1.21,1100,241,133,164.24
21.25,0.45,916,155,134,231.02
6.91,1.73,666,485,71,87.3
14.63,0.26,828,123,136,184.59
18.99,1.9,918,46,150,13.83
16.34,3.27,501,263,114,28.5
6.91,0.49,954,302,71,250.17
12.81,0.23,506,175,89,222.68
15.28,0.64,538,255,115,133.35
8.0,0.16,1103,294,99,622.42
13.91,0.82,559,301,125,108.86
22.52,0.43,1344,499,140,1158.22
19.13,0.4,1462,263,96,847.42
2.29,0.05,1237,496,115,653.5
5.62,0.7,859,497,100,159.95
6.89,0.31,1216,369,101,425.72
22.64,1.33,1008,384,134,239.15
28.56,1.1,1142,100,128,111.85
2.11,0.04,1138,353,63,563.57
16.33,2.33,1082,351,65,198.21
3.75,1.88,1152,11,86,1.43
18.73,1.44,951,167,131,76.81
11.49,0.37,549,151,103,110.47
19.54,0.41,767,224,114,324.42
6.56,0.25,963,426,143,330.2
12.82,0.51,627,73,143,37.65
20.84,0.47,718,174,63,376.13
13.42,0.36,725,160,94,200.4
22.98,0.85,566,198,119,121.31
6.0,0.86,1147,123,92,50.31
20.83,0.67,1194,310,114,473.7
28.06,1.65,675,173,150,64.89
5.5,0.12,1289,468,105,942.58
4.03,0.29,1038,475,97,299.88
3.23,0.06,997,438,110,607.97
9.4,0.19,984,420,78,980.03
7.97,0.3,1321,54,68,111.92
3.71,0.14,722,14,112,9.07
27.26,0.97,1491,278,72,754.89
14.33,0.42,931,100,107,133.57
9.78,1.09,1248,340,125,146.9
7.82,0.33,1250,154,149,138.95
22.58,0.9,990,378,100,444.73
24.84,0.48,928,66,113,128.41
3.69,0.14,1031,90,113,82.23
29.07,9.69,890,469,140,44.56
12.69,0.22,1099,264,85,776.76
29.46,1.4,1045,260,122,227.65
26.82,0.81,894,129,80,221.56
6.44,3.22,528,182,70,13.43
22.06,2.76,963,421,149,107.43
5.14,0.09,1063,92,101,178.38
19.98,0.5,1239,398,75,1159.13
19.08,0.6,556,391,115,280.26
2.09,0.3,1092,92,62,44.49
26.4,0.45,692,316,87,653.79
22.54,0.58,810,341,73,657.56
24.71,1.9,793,107,108,49.87
7.35,1.05,1320,98,86,49.88
28.21,0.78,759,227,93,313.41
23.23,0.47,719,238,134,292.38
6.76,0.14,1334,447,82,1222.99
17.59,0.3,951,235,100,561.59
25.43,0.46,904,331,100,746.01
20.72,1.04,716,31,127,16.77
5.05,0.19,1404,483,92,761.69
14.24,0.45,1435,467,101,945.77
14.99,0.37,1134,2,67,5.71
25.79,8.6,719,494,116,45.68
15.2,0.69,676,467,106,307.05
21.44,0.37,508,37,82,57.02
14.46,7.23,1377,392,111,48.33
28.9,0.74,1093,115,86,264.61
10.89,0.19,1401,249,108,744.31
4.19,0.08,1061,249,120,379.09
28.34,1.67,1195,266,64,402.59
9.32,0.26,1248,452,88,942.86
23.15,1.16,682,37,67,35.31
8.01,0.3,880,234,143,172.17
14.8,4.93,787,334,86,45.34
17.0,0.55,690,30,113,26.2
16.54,0.72,1170,225,62,438.57
19.49,1.95,1491,138,104,96.49
18.09,1.06,983,82,132,50.31
2.2,0.05,961,422,140,371.75
16.7,0.28,785,307,99,615.01
28.76,2.05,982,30,128,15.84
26.55,2.41,1490,79,144,44.39
2.27,0.38,1257,492,87,184.43
7.05,0.35,978,409,127,285.14
21.21,0.37,958,78,97,193.8
12.02,0.36,1083,19,93,32.14
18.9,1.18,566,25,90,12.02
27.68,0.89,1399,491,80,1247.61
20.12,5.03,941,211,119,33.09
20.61,1.15,624,49,85,30.67
26.79,1.49,930,499,145,281.21
5.98,0.17,671,354,137,251.05
27.31,3.03,1023,254,142,81.52
9.28,0.18,1346,419,145,841.43
27.26,1.3,1115,344,103,376.38
25.6,5.12,1321,93,126,24.19
21.22,5.31,1244,49,79,15.24
21.47,2.15,1228,458,149,185.57
17.76,0.63,1029,58,67,112.26
19.81,0.66,661,123,95,118.95
19.41,0.67,1104,347,111,468.42
5.51,0.13,1114,162,95,286.56
19.35,2.76,1014,211,145,51.09
20.52,0.49,750,446,135,482.36
28.71,0.76,1158,420,144,610.07
4.47,0.13,1141,465,77,790.02
23.64,0.68,680,354,60,621.25
5.5,0.12,1487,357,62,1173.52
10.05,0.37,565,138,120,79.31
5.34,0.41,1353,483,101,375.96
12.8,0.39,1006,429,61,959.39
27.19,1.05,1202,342,73,684.47
11.59,0.4,623,173,131,108.81
26.9,0.53,1480,33,141,82.39
9.58,0.22,1379,495,87,1354.46
5.11,0.11,539,276,119,210.11
20.48,0.51,823,113,149,117.58
22.14,0.85,757,198,89,205.73
29.61,1.1,1490,335,102,630.54
3.03,0.12,1149,463,101,470.77
20.35,0.42,933,497,74,1307.69
12.73,2.12,583,452,70,109.34
10.32,1.29,1435,229,90,140.02
14.72,0.29,752,292,74,610.79
21.15,3.53,812,186,110,40.61
4.4,0.14,1330,399,87,679.55
15.2,0.26,1108,101,110,253.13
3.14,0.09,1226,408,126,480.62
25.08,0.7,782,35,125,37.1
16.15,3.23,554,123,99,16.94
7.11,0.25,1032,143,145,127.18
15.75,1.58,642,111,148,23.5
4.74,0.11,1477,285,102,615.07
27.28,0.63,854,51,145,61.66
5.83,0.25,1293,256,148,229.74
9.51,0.2,765,478,141,523.72
25.41,0.44,1156,41,128,98.2
