Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
29.35,1.22,676,374,90,135.16
19.3,0.43,667,393,120,196.09
26.04,0.84,1045,320,108,191.97
10.92,0.24,714,301,115,170.06
3.42,0.08,1410,274,71,465.24
14.56,1.32,936,151,111,28.09
7.01,0.19,715,19,125,8.02
18.57,1.09,1295,370,86,189.84
8.58,0.2,1033,124,149,73.76
25.57,2.13,1285,259,129,61.94
23.62,0.67,1468,408,74,570.68
7.58,0.4,549,162,95,35.48
20.13,0.81,838,12,97,5.15
8.53,0.85,739,33,116,4.22
10.86,0.31,810,186,92,114.74
19.28,0.34,906,166,79,215.91
13.99,0.25,524,115,89,75.78
24.25,0.56,1215,358,136,277.0
27.71,0.62,711,152,133,72.63
8.79,0.2,1376,340,142,289.6
10.78,0.25,1047,409,131,281.91
4.95,0.16,829,361,119,155.61
22.11,0.43,851,136,112,106.27
25.61,2.33,533,211,107,23.11
4.28,0.08,1052,98,62,177.92
3.86,1.93,933,420,126,12.44
8.4,0.27,1290,12,74,13.02
14.03,0.38,1305,200,93,207.23
13.51,0.35,765,217,61,210.09
12.54,0.26,1301,429,110,489.44
15.52,0.52,573,444,133,114.18
21.28,4.26,1462,300,145,30.22
19.86,0.83,1292,6,64,5.8
5.33,0.11,1095,219,123,188.94
26.46,0.83,1424,331,105,286.21
6.67,0.44,1176,375,80,167.13
24.47,1.17,1420,256,106,143.45
6.88,0.38,1445,303,75,211.39
16.83,0.5,1245,112,87,107.9
6.94,0.46,1287,120,101,46.14
20.67,0.61,680,192,101,87.61
26.9,0.9,827,351,108,160.67
28.89,0.59,1163,174,131,151.28
14.49,0.66,798,145,145,35.04
17.86,0.46,590,10,89,5.15
16.73,0.8,1102,117,122,44.2
21.97,1.46,1450,79,132,26.12
12.55,0.24,1006,183,67,287.37
6.95,0.19,772,248,100,140.07
10.08,0.53,660,498,134,93.3
12.29,1.37,847,227,140,24.64
13.49,0.54,653,86,91,30.83
19.31,0.97,1500,426,122,208.54
22.98,1.77,760,21,73,5.68
4.53,1.51,948,439,87,28.7
24.27,0.55,564,46,122,18.77
19.01,0.53,982,95,128,52.28
2.09,0.07,1069,256,82,199.29
18.67,0.44,733,262,79,206.3
25.43,0.58,708,13,137,5.89
13.77,0.29,1284,212,111,232.89
23.72,23.72,1122,481,134,8.05
7.28,0.49,1345,390,116,134.37
23.4,5.85,771,276,69,24.67
19.61,0.68,972,265,113,131.47
3.81,0.13,987,144,126,66.12
3.02,0.13,517,73,70,25.05
3.45,0.11,619,467,143,126.8
2.28,0.04,1476,209,101,348.19
2.59,0.2,1138,3,88,1.0
15.64,0.58,1484,277,99,223.93
16.81,1.68,895,306,116,47.25
14.77,0.31,1479,13,114,16.07
7.72,0.15,823,428,124,292.4
13.4,0.23,946,45,67,74.03
24.24,2.2,1264,107,100,29.8
11.58,0.21,1459,146,103,228.08
3.02,0.05,1427,266,133,344.76
7.38,0.25,1170,200,128,107.93
24.25,0.59,640,164,139,62.07
2.46,0.06,1070,258,145,156.12
6.37,0.18,733,368,61,312.98
22.73,22.73,969,443,136,6.31
6.2,0.28,515,278,84,75.48
21.2,0.82,967,245,113,108.41
20.28,0.37,1185,283,105,350.12
10.78,0.83,651,37,70,8.94
17.45,0.5,800,211,142,82.97
18.64,0.43,1103,292,100,279.23
8.88,0.27,1394,60,108,50.94
22.79,4.56,810,89,149,4.84
3.87,0.43,1451,238,106,58.64
12.08,0.27,1253,297,83,401.2
17.89,0.33,769,376,89,352.25
2.37,0.14,1350,146,113,59.06
9.53,1.91,1033,31,127,2.52
6.77,0.31,893,460,140,128.16
20.5,2.93,1125,82,136,9.49
8.28,0.83,1368,165,97,46.43
28.73,0.55,1288,271,85,429.01
10.05,0.84,1225,193,74,76.45
11.58,0.77,1364,369,60,252.31
5.22,0.24,758,359,144,82.2
10.97,0.24,772,174,102,120.39
5.65,0.13,725,270,118,144.2
11.54,0.3,1042,178,115,124.08
10.28,0.18,853,484,70,673.67
12.9,0.34,1158,82,123,58.58
13.99,7.0,681,175,130,3.66
3.93,0.36,1317,14,133,3.03
4.05,0.58,1379,305,126,46.62
11.04,1.84,596,445,68,46.8
7.26,0.15,1302,120,99,152.77
6.69,0.15,543,48,92,25.27
17.7,0.48,1001,434,82,390.73
16.0,0.52,882,402,100,218.19
26.41,0.78,1249,333,149,189.03
25.26,2.81,1394,281,88,80.03
15.34,0.96,1489,404,91,211.26
11.27,0.81,824,219,73,68.79
8.53,0.33,1182,452,75,368.26
27.15,0.7,1327,216,91,244.33
24.19,1.86,932,55,70,19.05
6.36,0.25,1304,37,71,34.58
8.41,0.4,1340,26,68,21.54
23.55,0.87,1188,339,83,262.69
7.99,0.19,674,247,66,212.15
10.94,0.41,1375,305,76,294.48
14.91,0.27,1212,340,144,316.06
3.89,0.23,513,246,97,44.01
23.84,0.43,1228,30,147,27.79
8.5,0.15,557,54,120,28.41
4.89,0.11,602,55,60,49.06
9.76,0.18,724,335,74,355.43
26.68,0.62,1354,460,91,589.06
13.65,13.65,1436,246,109,6.48
19.87,0.64,1202,467,60,580.92
7.14,0.24,1345,489,98,399.32
15.56,1.41,751,84,131,10.63
29.4,0.51,1452,487,75,1087.03
16.91,0.53,1464,311,78,372.48
20.91,0.39,502,342,70,263.0
24.6,1.29,652,223,88,63.02
19.72,0.37,1202,282,104,347.42
29.09,0.77,1088,392,97,332.22
17.66,0.46,691,418,68,326.14
5.35,0.23,804,408,92,165.88
16.6,3.32,1331,493,150,43.75
13.25,0.83,992,204,142,45.5
5.43,0.16,1076,121,88,100.42
14.91,0.88,924,374,64,182.97
14.79,0.99,1398,294,111,110.64
29.34,0.59,972,75,85,85.3
19.81,0.36,775,454,122,317.4
4.41,0.1,1364,279,70,479.5
7.95,0.8,979,346,69,97.57
4.31,0.13,852,377,130,163.83
3.67,0.14,785,494,137,148.4
24.96,4.16,685,491,119,33.92
13.39,0.45,930,109,149,40.49
19.86,1.99,1026,25,106,4.83
9.62,9.62,1244,78,124,1.57
15.05,0.65,1206,444,115,215.62
19.14,0.39,507,31,100,15.43
4.1,0.08,1311,105,60,235.16
7.17,0.27,747,17,94,7.18
12.96,1.44,985,101,85,21.07
26.42,0.85,583,250,139,65.18
4.86,0.12,1026,460,130,294.07
3.73,1.24,1171,177,134,9.31
17.75,0.36,717,137,91,106.44
19.58,0.43,1192,332,63,572.07
22.73,1.62,686,273,139,37.81
14.06,0.31,571,204,134,78.85
14.25,1.78,761,144,115,15.26
18.55,0.34,1472,425,83,822.46
20.54,1.58,1009,395,102,101.59
27.61,0.81,844,264,124,122.5
4.47,0.17,739,34,128,10.32
9.81,0.65,854,217,60,93.23
7.2,0.18,863,253,63,277.26
7.55,0.25,524,437,138,100.22
16.79,0.33,505,497,67,381.19
7.03,0.2,743,241,99,127.15
26.04,0.72,993,215,96,160.86
9.82,0.27,1201,312,123,221.6
16.09,0.41,1369,18,81,23.88
8.06,0.23,1341,460,74,584.24
14.34,0.55,1277,366,76,320.68
27.19,0.51,620,461,120,253.97
21.29,0.38,787,220,66,293.95
8.55,0.17,1109,438,128,381.72
3.98,0.13,790,23,99,11.24
6.66,2.22,706,15,135,0.47
22.39,1.12,706,115,81,40.08
20.49,0.64,846,233,139,90.8
14.79,1.85,1281,75,142,10.82
14.17,0.3,792,112,85,98.58
2.24,0.08,674,101,92,41.44
12.56,0.22,1404,351,85,661.99
20.44,0.76,1019,126,123,56.15
16.6,0.66,1336,99,68,97.84
14.14,0.88,1286,43,96,18.51
16.37,1.17,723,362,129,56.77
8.07,4.04,756,417,82,15.36
21.9,0.84,1438,232,92,189.08
18.11,18.11,1380,194,73,7.33
2.21,0.07,905,297,110,154.29
16.86,1.12,583,418,70,104.81
17.58,0.65,724,438,85,201.8
27.55,1.2,546,163,138,29.61
20.67,2.95,1006,270,94,40.49
28.04,2.55,562,34,89,4.72
15.79,1.32,1054,375,83,113.93
21.65,0.37,999,384,109,411.87
27.44,0.95,1351,202,81,194.63
2.02,0.14,987,473,68,198.12
14.42,0.33,1064,429,112,356.17
6.13,0.38,583,208,144,27.17
15.46,0.33,1096,86,70,126.16
18.91,0.39,1165,438,114,434.06
16.43,0.37,1466,423,80,688.41
18.02,0.6,732,282,135,91.85
16.36,0.43,506,325,123,101.74
26.4,0.66,944,32,88,27.46
17.96,0.3,946,338,121,316.4
14.51,0.35,1334,331,140,261.51
13.25,0.3,540,270,65,198.14
7.31,0.2,1195,107,103,90.75
24.48,0.7,800,186,145,71.78
6.16,0.22,571,410,139,94.32
20.19,0.7,848,487,64,372.23
6.56,0.13,983,304,77,391.68
5.33,0.12,518,125,148,38.86
6.69,0.13,1462,56,141,59.76
5.23,0.2,1399,329,85,283.2
18.0,0.78,839,366,63,224.96
9.45,0.19,1361,101,62,220.54
26.27,0.56,979,446,142,288.49
25.4,0.47,1109,486,109,534.45
5.7,0.1,1356,410,116,546.37
6.55,0.36,998,395,97,147.89
21.69,2.41,604,403,123,35.62
26.61,0.74,1020,423,149,208.26
24.82,1.38,1385,209,124,83.97
22.53,0.54,995,401,130,256.11
6.2,0.21,1119,393,139,186.81
26.74,13.37,1306,237,129,9.6
