Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
9.12,3.04,783,475,107,328.19
15.5,15.5,986,242,66,415.01
17.68,17.68,1357,147,113,360.7
26.73,0.61,773,375,150,73.98
25.94,1.44,1311,138,146,36.88
3.21,0.12,887,194,62,2.68
17.94,0.39,1318,5,79,0.12
8.04,0.16,738,327,135,15.95
29.58,9.86,883,111,84,173.53
23.55,0.49,706,375,89,38.61
13.68,0.33,1344,258,100,10.56
9.28,0.49,887,289,106,28.11
26.21,0.66,1143,151,122,17.61
2.67,0.3,1300,401,148,22.71
6.83,0.14,1494,261,140,5.71
16.37,8.19,1290,323,149,506.1
25.66,0.53,918,294,131,37.06
18.95,0.4,1273,28,147,2.08
4.8,0.09,974,12,150,0.28
8.53,0.21,858,433,81,14.27
14.39,0.41,1066,16,150,1.44
19.15,0.43,938,473,82,29.51
12.51,0.26,1195,324,99,11.63
12.97,0.39,528,380,146,67.94
17.49,0.8,549,376,123,112.02
25.17,0.72,1290,322,88,26.28
6.56,0.21,547,207,120,15.89
4.24,0.16,577,182,114,9.48
16.74,1.05,538,487,74,116.98
20.77,0.44,557,251,148,48.52
4.33,0.11,1221,337,113,5.7
22.27,3.18,848,266,61,100.65
14.94,0.3,1300,440,104,17.52
29.86,1.57,804,318,69,71.41
12.68,0.33,963,313,142,25.3
28.55,3.57,1345,122,128,67.95
27.0,0.55,1468,350,135,29.34
17.2,1.01,1132,58,121,10.26
26.42,13.21,981,55,72,87.26
22.32,2.23,739,331,117,194.18
17.13,0.4,1264,99,137,7.15
18.5,0.33,1167,185,93,8.02
10.37,0.94,922,451,133,101.7
25.09,0.81,797,166,108,30.18
28.48,0.57,981,238,75,17.21
7.21,0.21,1381,464,68,7.96
4.16,0.21,500,333,62,14.45
25.47,0.65,1193,324,150,44.13
11.3,0.45,1316,460,67,17.53
19.89,0.39,552,371,72,31.28
6.93,6.93,697,90,147,219.23
19.28,0.33,878,68,70,2.89
14.5,0.37,884,28,79,1.49
27.52,0.92,1246,249,69,21.14
3.85,0.17,1457,298,92,5.31
26.13,0.71,1286,89,131,10.49
29.0,0.62,710,339,88,43.42
6.0,0.38,1284,282,135,18.78
27.24,1.6,1184,283,129,81.93
18.07,1.81,1463,443,118,107.3
10.14,0.27,1367,61,91,1.8
13.36,0.24,1277,279,107,9.35
6.97,0.13,519,177,117,8.65
12.48,6.24,887,324,127,482.46
7.56,0.44,1354,223,101,12.14
28.19,1.17,682,54,105,16.21
29.92,0.91,749,427,110,94.89
7.49,0.31,1361,64,122,2.92
4.05,0.34,538,397,86,35.87
4.82,0.09,1052,422,136,8.14
11.16,0.93,911,436,62,45.89
22.35,22.35,845,239,97,1013.42
18.07,1.2,929,468,107,107.81
20.68,0.46,699,354,100,38.83
25.95,0.68,915,268,127,42.0
29.11,0.79,675,171,78,26.02
4.97,2.49,845,77,135,49.73
29.09,0.5,1395,493,67,19.69
15.64,0.3,663,173,98,12.64
9.25,0.19,1014,189,67,3.95
2.92,0.08,1415,202,112,2.12
11.17,0.26,698,192,139,16.57
14.13,0.37,920,191,78,9.88
21.63,0.45,1415,340,139,24.98
3.49,0.06,1451,235,118,1.9
8.42,0.2,1326,21,133,0.7
17.92,1.19,621,324,99,102.44
14.9,0.47,1189,185,91,10.97
28.02,4.0,937,246,83,145.27
29.26,0.55,671,37,85,4.18
10.36,0.47,985,491,82,31.89
28.63,2.6,555,420,82,268.9
28.36,0.5,1361,33,79,1.6
8.14,0.26,941,36,149,2.47
26.17,1.09,766,418,107,105.82
18.08,0.5,1431,143,141,11.58
15.77,0.32,1109,496,140,33.33
6.1,0.47,689,302,76,25.92
20.48,0.76,916,162,108,24.19
26.87,26.87,762,480,128,3610.88
27.4,0.67,705,146,68,15.51
18.89,0.46,823,346,118,37.92
19.49,1.77,1038,301,119,101.46
28.32,0.75,780,477,64,48.92
9.18,0.51,1072,52,95,3.84
11.26,1.25,1153,38,77,5.01
18.58,0.93,1133,179,114,27.6
29.62,1.14,1448,45,103,6.08
16.82,0.35,1188,114,148,8.28
29.79,0.61,1133,173,132,20.25
25.94,8.65,833,264,75,342.68
28.92,0.6,538,410,106,80.39
8.38,0.31,740,411,102,29.27
4.11,2.06,948,138,96,47.98
6.96,0.46,1072,202,103,14.81
22.28,0.59,938,326,72,24.46
23.92,0.43,853,394,63,20.8
4.08,0.41,1496,376,143,24.49
29.17,0.56,1089,291,62,15.46
28.26,1.77,981,161,74,35.38
27.34,1.01,1215,182,76,18.95
8.79,0.35,1236,201,84,7.97
18.83,18.83,1446,256,100,553.44
5.43,0.36,1473,152,131,8.0
28.56,0.7,671,403,127,88.77
9.75,0.21,1408,343,68,5.78
10.03,0.44,960,214,78,12.69
21.02,3.5,1163,403,96,193.57
6.78,0.36,717,350,128,37.28
3.35,0.07,1449,332,78,2.07
12.5,0.32,1359,137,140,7.42
8.58,0.27,1026,149,116,7.48
15.06,0.3,967,500,74,19.05
17.17,0.3,688,449,139,45.15
8.45,0.16,761,208,147,10.66
3.88,0.13,950,84,69,1.32
12.37,1.37,1351,202,94,31.93
12.64,0.41,788,131,120,13.42
15.32,0.4,1033,405,120,31.36
13.56,0.36,1293,30,118,1.64
16.88,0.47,959,454,100,37.0
18.04,0.9,879,194,143,46.85
3.24,0.09,973,342,125,6.59
28.91,1.0,964,86,146,21.2
8.61,0.31,890,350,76,15.35
25.03,1.79,637,231,64,69.24
22.04,2.45,706,74,89,37.06
28.33,0.67,1395,133,125,13.21
21.55,0.49,1148,221,146,22.75
16.87,0.58,830,165,125,24.02
21.23,3.03,849,19,106,11.35
18.23,0.43,1144,244,92,14.01
29.98,7.5,629,393,121,945.01
27.63,0.63,1113,491,91,41.98
28.48,0.63,1343,233,70,12.64
22.74,0.87,1215,47,135,7.25
13.57,0.65,963,466,133,69.57
19.63,0.49,1137,496,102,36.27
5.15,0.19,946,125,118,4.86
26.94,26.94,688,41,83,211.25
16.69,1.28,1216,330,111,64.26
24.47,0.53,636,410,93,52.7
24.72,1.55,1394,461,71,60.39
9.84,0.21,903,221,109,9.25
5.13,0.13,676,234,84,6.3
26.41,0.7,1076,20,124,2.42
8.55,0.16,638,265,79,8.72
5.68,0.18,788,257,77,7.48
6.89,0.27,640,261,134,24.59
7.85,0.2,1149,39,92,1.04
10.39,0.36,1026,3,149,0.26
2.74,0.06,1405,42,109,0.33
25.0,0.45,659,72,107,8.77
16.88,0.5,1055,32,133,3.15
14.95,1.07,866,426,140,122.82
25.04,0.66,1083,260,142,37.21
9.71,1.39,1027,460,120,124.25
19.09,0.33,1030,267,85,12.12
2.6,0.24,688,276,80,12.84
5.92,0.23,959,144,125,7.19
12.63,0.84,1156,293,72,25.37
2.13,1.07,731,300,130,95.14
22.58,0.87,650,328,70,51.06
27.11,0.46,842,83,80,5.9
19.25,0.33,1050,335,77,13.43
9.03,0.18,1005,360,103,11.07
20.47,0.93,1029,453,70,47.77
6.09,0.44,1090,123,119,9.85
5.16,0.16,514,166,119,10.19
26.4,1.39,1388,46,73,5.48
8.55,0.17,1379,53,86,0.9
29.83,0.51,1268,33,69,1.53
27.24,0.8,502,478,92,116.56
10.5,10.5,1471,70,81,66.49
19.21,0.8,1098,168,66,13.46
10.65,5.33,569,344,119,635.38
10.7,0.3,1378,173,97,6.02
6.52,0.22,1396,109,119,3.38
5.29,0.13,502,295,85,10.79
2.26,0.14,611,62,64,1.47
9.12,0.76,891,437,90,55.66
27.82,1.64,1476,116,134,28.29
16.35,1.09,943,279,83,44.61
2.0,0.04,822,334,98,2.65
10.17,0.18,1028,313,82,7.47
11.95,1.0,1368,119,87,12.4
14.54,0.33,735,363,103,27.98
7.47,0.17,1467,163,121,3.79
4.02,0.11,575,318,62,6.29
14.68,0.92,1267,379,65,29.73
4.6,0.38,761,154,97,12.35
21.83,0.52,809,30,65,2.09
10.95,1.1,1411,322,125,52.14
17.23,1.08,1101,75,123,15.08
19.6,0.85,821,39,74,4.98
18.34,0.87,1265,111,124,15.78
22.86,0.53,768,243,97,27.11
19.37,0.65,983,319,69,24.18
15.9,0.45,1311,308,122,21.36
5.56,5.56,697,272,88,315.89
24.99,2.08,1157,184,136,74.57
10.83,0.83,1173,433,110,56.04
18.89,1.26,796,104,84,22.6
7.91,0.34,826,105,87,6.27
24.9,3.11,1381,238,108,96.07
11.93,0.8,1398,153,104,15.18
18.18,1.21,1440,267,80,29.91
7.66,0.14,759,214,69,4.52
7.78,0.13,1411,440,69,4.64
8.68,0.51,785,87,80,7.54
20.72,1.15,1369,197,80,21.84
11.48,0.27,835,322,142,24.57
19.63,0.63,1031,88,73,6.47
20.15,3.36,592,48,122,55.39
6.84,0.17,565,265,135,17.87
27.46,0.89,1104,260,103,35.7
3.1,0.07,775,311,114,5.3
19.88,0.95,684,360,86,71.67
17.75,0.85,1074,42,101,5.6
20.91,0.51,1469,456,118,31.13
10.83,0.37,1390,438,124,24.1
4.64,0.77,1345,337,140,44.88
7.22,0.27,816,461,144,36.45
23.9,23.9,1420,51,137,196.0
9.88,0.99,947,249,120,52.06
10.15,0.27,1371,334,141,15.41
22.21,0.58,642,165,88,21.86
17.0,0.33,571,237,122,27.85
9.87,9.87,720,310,107,755.4
